checkout_timestamp,cart_id,item_name,product_category,gmv,discount_percent,shipping_state,customer_email_domain,source_medium
2023-01-01 00:00:00,CART-1000,Wireless Earbuds,Peripherals,198.1,20,TX,outlook.com,email
2023-01-01 00:30:00,CART-1001,Wireless Earbuds,Audio,248.81,0,FL,gmail.com,email
2023-01-01 01:00:00,CART-1002,Mechanical Keyboard,Audio,223.88,20,CA,outlook.com,direct
2023-01-01 01:30:00,CART-1003,Wireless Earbuds,Accessories,153.49,15,TX,outlook.com,email
2023-01-01 02:00:00,CART-1004,Gaming Mouse,Peripherals,62.54,10,CA,yahoo.com,facebook/social
2023-01-01 02:30:00,CART-1005,Mechanical Keyboard,Audio,151.8,0,CA,outlook.com,direct
2023-01-01 03:00:00,CART-1006,Wireless Earbuds,Peripherals,224.22,0,IL,yahoo.com,google/cpc
2023-01-01 03:30:00,CART-1007,Mechanical Keyboard,Audio,87.23,10,TX,outlook.com,google/cpc
2023-01-01 04:00:00,CART-1008,Phone Case,Peripherals,172.87,0,NY,gmail.com,direct
2023-01-01 04:30:00,CART-1009,Mechanical Keyboard,Peripherals,81.97,10,TX,yahoo.com,facebook/social
2023-01-01 05:00:00,CART-1010,Phone Case,Audio,144.53,20,IL,gmail.com,google/cpc
2023-01-01 05:30:00,CART-1011,Phone Case,Accessories,59.01,20,NY,gmail.com,facebook/social
2023-01-01 06:00:00,CART-1012,Mechanical Keyboard,Accessories,248.12,10,CA,yahoo.com,email
2023-01-01 06:30:00,CART-1013,Phone Case,Peripherals,192.3,0,TX,outlook.com,direct
2023-01-01 07:00:00,CART-1014,Phone Case,Audio,25.57,20,IL,yahoo.com,google/cpc
2023-01-01 07:30:00,CART-1015,Mechanical Keyboard,Accessories,249.81,0,NY,gmail.com,google/cpc
2023-01-01 08:00:00,CART-1016,Wireless Earbuds,Accessories,165.42,15,TX,yahoo.com,email
2023-01-01 08:30:00,CART-1017,Wireless Earbuds,Accessories,135.7,15,CA,outlook.com,email
2023-01-01 09:00:00,CART-1018,Mechanical Keyboard,Audio,72.14,10,NY,outlook.com,google/cpc
2023-01-01 09:30:00,CART-1019,Mechanical Keyboard,Peripherals,127.56,20,IL,outlook.com,email
2023-01-01 10:00:00,CART-1020,Gaming Mouse,Peripherals,218.66,10,FL,yahoo.com,email
2023-01-01 10:30:00,CART-1021,Gaming Mouse,Accessories,248.97,0,TX,outlook.com,google/cpc
2023-01-01 11:00:00,CART-1022,Phone Case,Audio,181.96,15,CA,yahoo.com,email
2023-01-01 11:30:00,CART-1023,Wireless Earbuds,Audio,26.72,10,FL,yahoo.com,direct
2023-01-01 12:00:00,CART-1024,Mechanical Keyboard,Peripherals,155.07,15,NY,gmail.com,direct
2023-01-01 12:30:00,CART-1025,Mechanical Keyboard,Accessories,126.02,10,CA,outlook.com,google/cpc
2023-01-01 13:00:00,CART-1026,Phone Case,Audio,233.4,15,FL,outlook.com,email
2023-01-01 13:30:00,CART-1027,Mechanical Keyboard,Accessories,132.34,0,FL,gmail.com,facebook/social
2023-01-01 14:00:00,CART-1028,Gaming Mouse,Accessories,129.78,10,TX,outlook.com,email
2023-01-01 14:30:00,CART-1029,Wireless Earbuds,Accessories,82.01,20,CA,gmail.com,email
2023-01-01 15:00:00,CART-1030,Phone Case,Accessories,109.61,15,IL,yahoo.com,facebook/social
2023-01-01 15:30:00,CART-1031,Gaming Mouse,Audio,226.51,0,CA,gmail.com,google/cpc
2023-01-01 16:00:00,CART-1032,Phone Case,Audio,60.92,0,FL,gmail.com,google/cpc
2023-01-01 16:30:00,CART-1033,Wireless Earbuds,Accessories,56.97,10,FL,yahoo.com,email
2023-01-01 17:00:00,CART-1034,Mechanical Keyboard,Peripherals,55.54,20,FL,outlook.com,facebook/social
2023-01-01 17:30:00,CART-1035,Gaming Mouse,Peripherals,29.54,10,FL,outlook.com,google/cpc
2023-01-01 18:00:00,CART-1036,Phone Case,Audio,24.22,10,CA,yahoo.com,direct
