timestamp,sku_name,customer_type,qty_sold,unit_price,total_receipt,payment_type
2023-08-01 00:00:00,Gel Pen (Black),School Bulk,5,24.06,712.88,School PO
2023-08-01 01:00:00,A4 Paper Ream,Walk-in,1,17.55,752.09,Card
2023-08-01 02:00:00,Gel Pen (Black),Walk-in,1,0.21,1119.55,Cash
2023-08-01 03:00:00,Stapler,Teacher,50,12.52,70.02,School PO
2023-08-01 04:00:00,Binders (10pk),Office Corp,1,2.98,1194.33,School PO
2023-08-01 05:00:00,Stapler,Walk-in,50,18.43,970.77,Card
2023-08-01 06:00:00,Eraser,Walk-in,1,7.51,524.74,Cash
2023-08-01 07:00:00,A4 Paper Ream,Walk-in,1,20.02,103.27,School PO
2023-08-01 08:00:00,Binders (10pk),Walk-in,2,25.0,898.51,Cash
2023-08-01 09:00:00,Geometry Box,Walk-in,1,8.61,189.58,School PO
2023-08-01 10:00:00,Stapler,Walk-in,2,20.44,155.25,Card
2023-08-01 11:00:00,Eraser,Teacher,5,6.86,142.22,Card
2023-08-01 12:00:00,Binders (10pk),Walk-in,1,13.58,1255.69,School PO
2023-08-01 13:00:00,Binders (10pk),Walk-in,2,12.95,1293.07,School PO
2023-08-01 14:00:00,A4 Paper Ream,School Bulk,1,24.01,105.83,Cash
2023-08-01 15:00:00,Geometry Box,Walk-in,1,22.2,334.98,Card
2023-08-01 16:00:00,Eraser,Walk-in,500,18.04,1083.79,Cash
2023-08-01 17:00:00,Stapler,Walk-in,1,13.58,1002.1,Cash
2023-08-01 18:00:00,Eraser,Walk-in,50,13.85,1081.88,Card
2023-08-01 19:00:00,Eraser,Office Corp,1,9.87,822.68,School PO
2023-08-01 20:00:00,Eraser,Teacher,2,23.86,676.4,School PO
2023-08-01 21:00:00,Geometry Box,Walk-in,1,9.8,430.63,School PO
2023-08-01 22:00:00,Binders (10pk),Walk-in,500,1.76,7.62,Card
2023-08-01 23:00:00,Binders (10pk),Office Corp,1,14.04,869.42,School PO
2023-08-02 00:00:00,A4 Paper Ream,Walk-in,1,22.37,99.56,Cash
2023-08-02 01:00:00,Geometry Box,Walk-in,1,18.63,1064.37,School PO
2023-08-02 02:00:00,Stapler,School Bulk,1,1.42,1019.31,Cash
2023-08-02 03:00:00,Geometry Box,Walk-in,1,19.76,1135.28,School PO
2023-08-02 04:00:00,Binders (10pk),School Bulk,500,20.66,563.11,Cash
