date,revenue,product,region
2020-01-01 00:00:00,608.44,Prod C,North
2020-01-01 00:01:00,284.26,Prod A,South
2020-01-01 00:02:00,863.71,Prod C,West
2020-01-01 00:03:00,290.63,Prod A,West
2020-01-01 00:04:00,689.89,Prod B,East
2020-01-01 00:05:00,677.48,Prod A,East
2020-01-01 00:06:00,229.28,Prod B,East
2020-01-01 00:07:00,44.45,Prod C,North
2020-01-01 00:08:00,415.16,Prod A,North
2020-01-01 00:09:00,296.3,Prod B,South
2020-01-01 00:10:00,810.89,Prod A,North
2020-01-01 00:11:00,802.36,Prod C,South
2020-01-01 00:12:00,462.45,Prod B,South
2020-01-01 00:13:00,610.45,Prod C,South
2020-01-01 00:14:00,608.22,Prod B,West
2020-01-01 00:15:00,828.89,Prod A,North
2020-01-01 00:16:00,430.75,Prod A,South
2020-01-01 00:17:00,282.69,Prod A,South
2020-01-01 00:18:00,272.38,Prod A,East
2020-01-01 00:19:00,540.83,Prod C,South
2020-01-01 00:20:00,454.66,Prod B,West
2020-01-01 00:21:00,445.72,Prod A,North
2020-01-01 00:22:00,100.23,Prod A,South
2020-01-01 00:23:00,721.42,Prod A,South
2020-01-01 00:24:00,221.6,Prod A,North
2020-01-01 00:25:00,204.98,Prod B,South
2020-01-01 00:26:00,418.63,Prod A,East
2020-01-01 00:27:00,235.5,Prod B,South
2020-01-01 00:28:00,588.02,Prod C,North
2020-01-01 00:29:00,377.75,Prod A,North
2020-01-01 00:30:00,454.42,Prod A,South
2020-01-01 00:31:00,541.8,Prod C,West
2020-01-01 00:32:00,211.5,Prod C,West
2020-01-01 00:33:00,164.19,Prod A,North
2020-01-01 00:34:00,881.62,Prod A,West
2020-01-01 00:35:00,439.39,Prod C,West
2020-01-01 00:36:00,417.97,Prod B,West
2020-01-01 00:37:00,45.26,Prod B,East
2020-01-01 00:38:00,503.0,Prod C,West
2020-01-01 00:39:00,558.63,Prod A,East
2020-01-01 00:40:00,563.25,Prod A,East
2020-01-01 00:41:00,709.96,Prod A,West
2020-01-01 00:42:00,185.71,Prod C,North
2020-01-01 00:43:00,259.7,Prod C,South
2020-01-01 00:44:00,812.62,Prod B,West
2020-01-01 00:45:00,947.7,Prod C,West
2020-01-01 00:46:00,144.57,Prod A,North
2020-01-01 00:47:00,502.67,Prod C,East
2020-01-01 00:48:00,222.03,Prod C,West
2020-01-01 00:49:00,69.47,Prod A,North
2020-01-01 00:50:00,332.25,Prod A,East
2020-01-01 00:51:00,152.25,Prod C,North
2020-01-01 00:52:00,712.83,Prod C,West
2020-01-01 00:53:00,538.39,Prod A,South
2020-01-01 00:54:00,152.4,Prod A,South
2020-01-01 00:55:00,19.15,Prod C,West
2020-01-01 00:56:00,810.08,Prod C,South
2020-01-01 00:57:00,184.43,Prod B,West
2020-01-01 00:58:00,610.15,Prod A,South
2020-01-01 00:59:00,343.55,Prod C,East
2020-01-01 01:00:00,589.63,Prod A,East
2020-01-01 01:01:00,322.5,Prod A,East
2020-01-01 01:02:00,96.07,Prod A,North
2020-01-01 01:03:00,230.72,Prod A,North
2020-01-01 01:04:00,196.18,Prod C,South
2020-01-01 01:05:00,433.74,Prod B,West
2020-01-01 01:06:00,661.7,Prod B,West
2020-01-01 01:07:00,271.17,Prod C,East
2020-01-01 01:08:00,21.95,Prod B,West
2020-01-01 01:09:00,523.75,Prod A,South
2020-01-01 01:10:00,609.7,Prod C,South
2020-01-01 01:11:00,963.24,Prod C,North
2020-01-01 01:12:00,593.58,Prod C,East
2020-01-01 01:13:00,476.46,Prod A,East
2020-01-01 01:14:00,577.67,Prod A,West
2020-01-01 01:15:00,928.62,Prod A,West
2020-01-01 01:16:00,830.09,Prod C,South
2020-01-01 01:17:00,329.75,Prod A,West
2020-01-01 01:18:00,244.88,Prod C,North
2020-01-01 01:19:00,270.01,Prod A,West
2020-01-01 01:20:00,509.38,Prod A,North
2020-01-01 01:21:00,746.61,Prod A,North
2020-01-01 01:22:00,508.19,Prod A,North
2020-01-01 01:23:00,77.12,Prod B,East
2020-01-01 01:24:00,726.34,Prod A,North
2020-01-01 01:25:00,807.91,Prod B,North
2020-01-01 01:26:00,296.6,Prod C,South
2020-01-01 01:27:00,667.48,Prod C,West
2020-01-01 01:28:00,432.33,Prod B,South
2020-01-01 01:29:00,890.23,Prod C,West
2020-01-01 01:30:00,846.77,Prod A,South
2020-01-01 01:31:00,530.18,Prod B,South
2020-01-01 01:32:00,694.59,Prod B,West
2020-01-01 01:33:00,884.52,Prod C,West
2020-01-01 01:34:00,500.76,Prod C,North
2020-01-01 01:35:00,320.12,Prod B,South
2020-01-01 01:36:00,756.13,Prod C,East
2020-01-01 01:37:00,227.87,Prod B,North
2020-01-01 01:38:00,394.65,Prod B,North
2020-01-01 01:39:00,867.07,Prod B,North
2020-01-01 01:40:00,727.18,Prod A,West
2020-01-01 01:41:00,409.77,Prod A,South
2020-01-01 01:42:00,222.6,Prod C,East
