billing_period,client_name,service_line,billable_hours,hourly_rate,software_cost,invoice_value,project_status
2023-01-01,MegaCorp,Monthly Retainer,100,300,4214.58,24254.07,Completed
2023-01-08,LocalBank,App Dev,40,0,4439.7,22504.29,Completed
2023-01-15,MegaCorp,App Dev,0,0,3579.59,43522.19,On Hold
2023-01-22,CityGov,App Dev,40,0,4444.36,36928.26,On Hold
2023-01-29,MegaCorp,App Dev,250,0,910.35,8746.03,Completed
2023-02-05,CityGov,O365 Licenses,10,0,3732.45,36974.17,Ongoing
2023-02-12,TechStart,Cyber Audit,10,200,2780.08,30225.76,On Hold
2023-02-19,LocalBank,Cyber Audit,10,200,2151.14,47530.63,Completed
2023-02-26,LocalBank,Cyber Audit,250,200,1469.6,20241.63,On Hold
2023-03-05,TechStart,App Dev,100,150,4856.6,23669.69,Completed
2023-03-12,LocalBank,O365 Licenses,10,200,4573.7,12723.2,On Hold
2023-03-19,LocalBank,Cloud Migration,100,200,4716.72,1450.59,On Hold
2023-03-26,MegaCorp,O365 Licenses,0,0,3717.78,15013.31,Ongoing
2023-04-02,CityGov,App Dev,40,300,402.57,2411.2,On Hold
2023-04-09,CityGov,Monthly Retainer,250,0,2140.35,2437.7,Ongoing
2023-04-16,TechStart,App Dev,100,200,1764.77,1826.99,Completed
2023-04-23,CityGov,O365 Licenses,100,0,4578.17,47898.85,On Hold
2023-04-30,CityGov,Cyber Audit,40,200,3871.66,39909.08,Ongoing
2023-05-07,TechStart,App Dev,250,200,397.98,37052.87,Completed
2023-05-14,MegaCorp,O365 Licenses,100,200,4733.09,44747.86,On Hold
2023-05-21,MegaCorp,Monthly Retainer,40,200,2738.36,13412.9,Completed
2023-05-28,LocalBank,App Dev,250,200,4878.85,22234.29,Ongoing
2023-06-04,CityGov,Cyber Audit,10,0,4184.12,26001.83,Ongoing
2023-06-11,TechStart,Monthly Retainer,10,0,964.97,30170.29,Ongoing
2023-06-18,TechStart,Cloud Migration,0,200,465.27,23924.44,On Hold
2023-06-25,LocalBank,Monthly Retainer,100,0,2644.71,12389.82,Completed
2023-07-02,CityGov,Cyber Audit,10,300,2296.09,38874.7,On Hold
2023-07-09,MegaCorp,Cyber Audit,250,0,2315.02,43303.64,Completed
2023-07-16,CityGov,App Dev,100,300,4051.68,19788.02,On Hold
2023-07-23,CityGov,Cloud Migration,40,0,4511.68,49946.76,Ongoing
2023-07-30,CityGov,Cloud Migration,10,0,1164.31,11625.31,Completed
2023-08-06,MegaCorp,App Dev,0,200,322.71,3013.12,On Hold
2023-08-13,MegaCorp,Monthly Retainer,100,300,3655.87,10517.66,On Hold
2023-08-20,MegaCorp,Cloud Migration,0,200,2051.02,9369.73,Completed
2023-08-27,MegaCorp,Cloud Migration,250,0,1086.82,16100.37,Completed
2023-09-03,TechStart,Monthly Retainer,250,150,2978.46,42972.64,Completed
2023-09-10,TechStart,O365 Licenses,40,150,1192.43,37392.04,On Hold
2023-09-17,LocalBank,O365 Licenses,40,0,4351.12,8046.71,Completed
2023-09-24,MegaCorp,Cyber Audit,100,200,3452.52,3618.22,On Hold
2023-10-01,CityGov,Monthly Retainer,100,200,351.85,9276.22,On Hold
2023-10-08,CityGov,Cyber Audit,0,300,4433.95,44000.79,Completed
2023-10-15,CityGov,Cloud Migration,250,300,1182.33,6853.9,Ongoing
2023-10-22,MegaCorp,Cyber Audit,40,150,96.37,24448.51,Completed
2023-10-29,TechStart,Cloud Migration,10,200,4828.83,11169.23,Ongoing
2023-11-05,CityGov,App Dev,0,300,2963.65,15743.56,Completed
2023-11-12,CityGov,Cyber Audit,0,150,2042.5,44140.13,Ongoing
2023-11-19,CityGov,Cyber Audit,0,300,370.21,19916.84,Completed
2023-11-26,TechStart,Cloud Migration,100,150,2424.95,15342.08,Ongoing
2023-12-03,MegaCorp,App Dev,100,200,1773.95,16558.0,Ongoing
2023-12-10,CityGov,Cloud Migration,0,300,3089.26,34076.87,On Hold
2023-12-17,TechStart,Cyber Audit,40,300,4986.56,44348.1,On Hold
2023-12-24,MegaCorp,O365 Licenses,40,150,3763.42,10958.6,Completed
2023-12-31,MegaCorp,Monthly Retainer,100,200,4152.14,18850.85,On Hold
2024-01-07,LocalBank,App Dev,10,0,820.76,31544.91,On Hold
2024-01-14,TechStart,Monthly Retainer,100,200,473.5,31082.47,Completed
2024-01-21,MegaCorp,O365 Licenses,40,300,135.89,49853.22,Completed
2024-01-28,LocalBank,O365 Licenses,0,0,3872.46,32681.64,On Hold
2024-02-04,TechStart,Cloud Migration,100,0,2225.71,28699.51,Completed
2024-02-11,LocalBank,O365 Licenses,0,200,1747.45,21540.26,Completed
2024-02-18,TechStart,O365 Licenses,10,200,529.28,20653.17,On Hold
2024-02-25,TechStart,App Dev,250,150,4088.12,17584.37,On Hold
2024-03-03,TechStart,App Dev,250,300,662.27,30346.63,Completed
2024-03-10,TechStart,Cloud Migration,10,0,889.35,7789.72,On Hold
2024-03-17,MegaCorp,Cloud Migration,250,150,4123.55,38018.29,Completed
2024-03-24,LocalBank,O365 Licenses,0,200,1831.68,42809.36,Completed
2024-03-31,CityGov,Cloud Migration,100,150,233.03,48827.07,Completed
2024-04-07,TechStart,O365 Licenses,40,300,3527.83,28312.84,Completed
2024-04-14,CityGov,O365 Licenses,0,300,3718.56,11678.82,Ongoing
2024-04-21,MegaCorp,Cyber Audit,0,300,2074.39,25696.38,Ongoing
2024-04-28,MegaCorp,O365 Licenses,10,0,2666.13,47291.27,Ongoing
2024-05-05,MegaCorp,App Dev,40,200,385.22,33446.91,On Hold
2024-05-12,CityGov,O365 Licenses,100,300,315.14,8197.2,On Hold
2024-05-19,TechStart,Cloud Migration,0,150,3486.28,17220.45,Ongoing
2024-05-26,TechStart,App Dev,40,150,2846.79,34608.75,Ongoing
2024-06-02,TechStart,O365 Licenses,10,0,2933.21,20809.97,On Hold
2024-06-09,TechStart,Cyber Audit,10,150,3899.88,4220.39,On Hold
2024-06-16,LocalBank,Monthly Retainer,250,300,1669.2,31973.38,Completed
2024-06-23,CityGov,Cloud Migration,250,200,1671.07,17526.25,Ongoing
2024-06-30,CityGov,Monthly Retainer,0,0,2254.07,32905.31,On Hold
2024-07-07,CityGov,O365 Licenses,40,300,4301.65,27689.0,On Hold
2024-07-14,TechStart,Cloud Migration,100,150,1919.23,10082.18,Completed
2024-07-21,LocalBank,Cyber Audit,0,150,1104.63,26989.95,On Hold
2024-07-28,TechStart,O365 Licenses,40,150,2510.61,11765.34,Completed
2024-08-04,TechStart,Cyber Audit,250,300,2558.55,34769.74,Completed
2024-08-11,MegaCorp,App Dev,0,0,4513.21,12132.39,Completed
2024-08-18,LocalBank,App Dev,40,150,159.15,5889.41,Ongoing
2024-08-25,LocalBank,Cyber Audit,100,200,4746.15,24960.21,Ongoing
2024-09-01,CityGov,App Dev,40,300,1086.73,43560.92,Ongoing
2024-09-08,MegaCorp,Monthly Retainer,0,150,4935.58,38785.31,On Hold
2024-09-15,MegaCorp,App Dev,10,0,4875.17,11934.12,Ongoing
2024-09-22,CityGov,Monthly Retainer,250,300,2064.17,11612.28,Ongoing
2024-09-29,MegaCorp,O365 Licenses,40,200,3869.8,44759.69,Completed
2024-10-06,TechStart,App Dev,40,200,3228.02,41398.14,Ongoing
2024-10-13,MegaCorp,Cyber Audit,40,200,1495.65,42638.84,Ongoing
2024-10-20,TechStart,Cloud Migration,0,150,3949.12,38263.51,On Hold
2024-10-27,CityGov,App Dev,250,200,3114.32,14987.09,On Hold
2024-11-03,TechStart,O365 Licenses,0,200,2688.3,45402.93,Ongoing
2024-11-10,CityGov,App Dev,40,300,3553.27,19467.7,On Hold
2024-11-17,MegaCorp,Cloud Migration,100,150,2933.37,12548.68,Ongoing
2024-11-24,MegaCorp,Monthly Retainer,100,150,2578.77,21946.95,On Hold
2024-12-01,LocalBank,Monthly Retainer,100,0,4385.19,49360.23,Completed
