purchase_time,event_name,ticket_tier,tickets_bought,face_value,service_fee,total_charge,buyer_location,is_reseller
2023-10-01 00:00:00,Tech Expo,Early Bird,2,25,38.16,1470.19,Out of State,False
2023-10-01 00:01:00,Comedy Night,General Admin,4,300,28.8,1631.39,International,False
2023-10-01 00:02:00,Tech Expo,Early Bird,3,25,31.61,1755.88,Out of State,False
2023-10-01 00:03:00,Comedy Night,Early Bird,1,150,32.04,1484.62,Local,False
2023-10-01 00:04:00,Symphony Orchestra,Balcony,1,25,26.85,531.65,International,False
2023-10-01 00:05:00,Comedy Night,Balcony,4,150,24.11,2348.3,International,False
2023-10-01 00:06:00,Rock Fest '24,Early Bird,3,50,40.72,1961.53,Local,False
2023-10-01 00:07:00,Symphony Orchestra,Balcony,4,300,35.68,1976.9,Out of State,False
2023-10-01 00:08:00,Tech Expo,General Admin,7,50,12.33,1534.38,International,False
2023-10-01 00:09:00,Comedy Night,Balcony,1,50,34.31,1815.69,Out of State,False
2023-10-01 00:10:00,Comedy Night,General Admin,2,300,22.87,249.49,International,False
2023-10-01 00:11:00,Comedy Night,Early Bird,5,300,39.49,52.88,International,False
2023-10-01 00:12:00,Symphony Orchestra,Balcony,1,300,23.88,530.01,Out of State,False
2023-10-01 00:13:00,Comedy Night,VIP,4,150,28.9,769.33,International,False
2023-10-01 00:14:00,Tech Expo,VIP,2,300,40.66,1762.46,International,False
2023-10-01 00:15:00,Tech Expo,General Admin,3,300,30.38,1862.9,Out of State,False
2023-10-01 00:16:00,Tech Expo,VIP,3,300,25.4,1949.0,Local,False
2023-10-01 00:17:00,Comedy Night,General Admin,2,50,39.66,313.45,Out of State,False
2023-10-01 00:18:00,Tech Expo,General Admin,3,300,32.3,340.61,International,True
2023-10-01 00:19:00,Comedy Night,Balcony,1,150,19.08,1731.73,Local,False
2023-10-01 00:20:00,Symphony Orchestra,Early Bird,5,300,15.05,862.84,International,False
